id;date;device;canal;sentiment;type_photo;type_sinistre;anciennete_client;garantie;csat;gravite;region;source;commentaire;commentaire_clean;topic;topic_label;keywords
13;2024-12-08;iOS;App;neg;parcours;collision;1-3 ans;tous_risques;1;faible;Grand Est;Web;Très mécontent, je ne comprends pas les étapes pour une simple déclaration malgré plusieurs essais, du coup rien n'avance, c'est pas sérieux.;mécontent comprendre étape simple déclaration essai coup rien avancer sérieux;16;Thème 16 (à analyser);simple, déclaration, comprendre, confus, parcours, répèter, demander, info, vite, corriger
14;2024-03-21;Android;App;neg;complexité;vol;3-10 ans;tous_risques;2;forte;Île-de-France;Email;Très mécontent, la procédure est trop longue pour un sinistre simple, mais je perds un temps fou, je vais réessayer plus tard.;mécontent procédure trop long sinistre simple perdre temps fou réessayer tard;60;Thème 60 (à analyser);procédure, long, trop, simple, envoyer, sinistre, finir, avancer, appeler, bol
15;2024-11-20;Web;App;neg;authentification;collision;3-10 ans;jeune_conducteur;1;faible;Pays de la Loire;Web;Très mécontent, la reconnaissance Face ID échoue même après réinitialisation et je perds tout, honnêtement je perds un temps fou, merci de corriger vite.;mécontent reconnaissance face échouer réinitialisation perdre honnêtement perdre temps fou corriger vite;40;Thème 40 (à analyser);face, reconnaissance, réinitialisation, mot, passe, refuser, identifiant, échouer, vite, corriger
16;2024-03-17;iOS;Web;neg;photo;collision;1-3 ans;jeune_conducteur;1;moyenne;Auvergne-Rhône-Alpes;App;Très mécontent, la caméra ne s'ouvre pas pendant la déclaration et je perds tout, franchement rien n'avance, j'ai fini par appeler.;mécontent caméra ouvrir déclaration perdre franchement rien avance finir appeler;33;Thème 33 (à analyser);caméra, ouvrir, déclaration, avance, inadmissible, mécontent, rien, pénible, devenir, vite
17;2024-07-30;Android;Web;neg;complexité;vol;10+ ans;jeune_conducteur;2;faible;PACA;App;Franchement, trop de champs obligatoires alors que j'ai déjà envoyé malgré plusieurs essais, du coup je perds un temps fou, je vais réessayer plus tard.;franchement trop champ obligatoire envoyer essai coup perdre temps fou réessayer tard;41;Thème 41 (à analyser);champ, obligatoire, trop, envoyer, avancer, terrible, amélioration, attendre, valider, tard
18;2024-12-03;Android;App;pos;complexité;collision;3-10 ans;tous_risques;5;forte;Île-de-France;Agence;Merci, les justificatifs demandés sont trop nombreux pour avancer au début, puis tout s'est débloqué rapidement, alors tout est bien expliqué, continuez comme ça, rapide.;justificatif demander trop avancer début débloquer rapidement bien expliquer continuer rapide;-1;Commentaires généraux / hors sujet;
19;2024-10-22;Android;App;neg;parcours;vol;3-10 ans;pro;1;faible;Île-de-France;Téléphone;Je suis déçu on tourne en rond dans les écrans entre les onglets et je perds tout bref je perds un temps fou je vais.;décevoir tourne rond écran onglet perdre bref perdre temps fou;36;Thème 36 (à analyser);onglet, écran, tourne, rond, pénible, appeler, devenir, finir, vite, corriger
20;2024-10-10;Android;App;pos;parcours;catastrophe_naturelle;3-10 ans;tiers;4;faible;Auvergne-Rhône-Alpes;Téléphone;Nickel je n'arrive pas à trouver où suivre mon sinistre sur le récapitulatif mais la résolution a été rapide bref j'ai eu une réponse rapide.;nickel arriver trouver sinistre récapitulatif résolution être rapide bref réponse rapide;2;Blocage après un bon début;nickel, début, débloquer, rapidement, rapide, résolution, être, efficace, suivi, service
21;2024-12-03;Android;App;neu;photo;vol;3-10 ans;tous_risques;3;faible;Auvergne-Rhône-Alpes;App;Ça pourrait être mieux, l'ajout des photos bloque au moment de valider, mais ça passe mais c'est limite, ça manque de simplicité.;mieux ajout photo bloqu moment valider passer limite manque simplicité;76;Thème 76 (à analyser);attente, manque, simplicité, photo, limite, passer, mitiger, reprendre, globalement, devoir
22;2024-07-23;Android;Web;neg;bug;vol;0-1 an;tous_risques;1;moyenne;PACA;Web;Ras-le-bol, le bouton valider ne fait rien au moment de confirmer, mais je perds un temps fou, c'est pas sérieux.;ras-le-bol bouton valider rien moment confirmer perdre temps fou sérieux;47;Thème 47 (à analyser);bouton, valider, jour, mise, confirmer, fou, temps, rien, perdre, dossier
23;2024-09-15;Android;Téléphone;neg;photo;incendie;3-10 ans;tous_risques;2;moyenne;Hauts-de-France;Web;C'est inadmissible, l'envoi des clichés échoue au moment de valider, mais je perds un temps fou, c'est pas sérieux.;inadmissible envoi cliché échouer moment valider perdre temps fou sérieux;24;Thème 24 (à analyser);cliché, envoi, échouer, fou, temps, justificatif, perdre, tard, corriger, réessayer
24;2024-04-28;Android;App;neg;lenteur;collision;3-10 ans;tiers;2;faible;Pays de la Loire;Email;Ras-le-bol, le chargement est interminable à chaque étape, franchement je perds un temps fou, je vais réessayer plus tard.;ras-le-bol chargement interminable étape franchement perdre temps fou réessayer tard;3;Chargement interminable des pièces;chargement, interminable, pièce, envoyer, joindre, moment, tard, réessayer, étape, perdre
25;2024-08-02;iOS;Web;neu;authentification;collision;1-3 ans;tous_risques;3;faible;Grand Est;Téléphone;Globalement ça va, ça bloque sur l'authentification même après réinitialisation, honnêtement j'ai dû m'y reprendre, ça manque de simplicité.;globalement bloquer authentification réinitialisation honnêtement devoir reprendre manque simplicité;29;Thème 29 (à analyser);authentification, identifiant, tentative, réinitialisation, bloquer, bon, manque, simplicité, reprendre, fou
26;2024-01-14;Android;App;pos;photo;collision;1-3 ans;tous_risques;5;moyenne;Nouvelle-Aquitaine;Téléphone;Nickel, je ne peux pas joindre les images pendant la déclaration au début, puis tout s'est débloqué rapidement, mais tout est bien expliqué, service efficace.;nickel joindre image déclaration début débloquer rapidement bien expliquer service efficace;52;Thème 52 (à analyser);nickel, rapide, être, résolution, continuer, début, débloquer, rapidement, réponse, expliquer
27;2024-01-21;iOS;Téléphone;neg;photo;collision;0-1 an;tous_risques;1;faible;Auvergne-Rhône-Alpes;App;Franchement, les photos restent en attente après trois essais malgré plusieurs essais, mais rien n'avance, merci de corriger vite.;franchement photo attente essai essai rien avance corriger vite;10;Photos en attente / rien n’avance;attente, photo, rien, avance, avancer, gramme, vite, mécontent, corriger, sérieux
28;2024-07-11;Android;Web;neg;parcours;bris_de_glace;0-1 an;tous_risques;1;moyenne;Hauts-de-France;App;Je suis déçu je n'arrive pas à trouver où suivre mon sinistre quand il faut choisir le garage et je perds tout bref ça bloque.;décevoir arriver trouver sinistre falloir choisir garage perdre bref bloquer;49;Thème 49 (à analyser);trouver, falloir, choisir, garage, arriver, sinistre, manqu, décevoir, réussir, bref
29;2024-08-09;Web;Web;neu;parcours;collision;3-10 ans;pro;3;faible;Pays de la Loire;Web;Pas terrible mais bon les infos demandées se répètent quand il faut choisir le garage franchement ça passe mais c'est limite le support via web.;terrible bon info demander répèter falloir choisir garage franchement passer limite support web;-1;Commentaires généraux / hors sujet;
30;2024-05-04;iOS;Web;neu;photo;collision;1-3 ans;tous_risques;3;faible;Auvergne-Rhône-Alpes;App;C'est mitigé, les photos restent en attente même en 4G, alors j'ai dû m'y reprendre, le support via app a aidé.;mitiger photo attente gramme devoir reprendre support app aider;28;Thème 28 (à analyser);app, aider, support, image, photo, joindre, bloqu, ajout, réussir, attente
31;2024-05-03;iOS;Web;neg;bug;collision;1-3 ans;tous_risques;2;moyenne;Nouvelle-Aquitaine;Web;C'est inadmissible ça me déconnecte tout seul après la mise à jour et je perds tout bref je perds un temps fou je vais réessayer.;inadmissible déconnecter mise jour perdre bref perdre temps fou réessayer;17;Thème 17 (à analyser);déconnecter, fois, refaire, mise, jour, mouliner, fou, temps, dernier, perdre
32;2024-06-10;Android;App;neu;photo;collision;3-10 ans;tous_risques;3;forte;Hauts-de-France;App;Globalement ça va, la caméra ne s'ouvre pas sur l'étape des justificatifs, alors ça passe mais c'est limite, le support via app a aidé.;globalement caméra ouvrir étape justificatif passer limite support app aider;101;Thème 101 (à analyser);caméra, ouvrir, aider, support, app, web, terrible, agence, limite, reprendre
33;2024-01-24;Web;Web;neu;photo;incendie;3-10 ans;jeune_conducteur;3;moyenne;Occitanie;Web;Ça pourrait être mieux, l'ajout des photos bloque à la fin du formulaire, alors j'ai réussi au final, le support via web a aidé.;mieux ajout photo bloqu fin formulaire réussir final support web aider;79;Thème 79 (à analyser);web, aider, support, attente, photo, limite, passer, ajout, agence, gramme
34;2024-01-28;Android;Web;pos;photo;collision;3-10 ans;tous_risques;4;moyenne;Nouvelle-Aquitaine;Email;Bonne expérience, l'envoi des clichés échoue après trois essais et j'ai pu finaliser sans stress, franchement tout est bien expliqué, bravo à l'équipe.;bon expérience envoi cliché échouer essai finaliser stress franchement bien expliquer bravo équipe;87;Thème 87 (à analyser);équipe, bravo, stress, finaliser, suivi, expérience, expliquer, satisfait, bien, mouliner
35;2024-04-18;Android;App;neg;parcours;collision;1-3 ans;tous_risques;2;faible;Auvergne-Rhône-Alpes;Téléphone;Franchement, les boutons ne sont pas clairs quand il faut choisir le garage malgré plusieurs essais, mais ça bloque encore, j'ai fini par appeler.;franchement bouton clair falloir choisir garage essai bloquer finir appeler;135;Thème 135 (à analyser);garage, falloir, choisir, bouton, clair, bloquer, vite, sérieux, corriger, franchement
36;2024-05-16;Web;App;neg;photo;vol;3-10 ans;tiers;1;faible;Auvergne-Rhône-Alpes;Web;Ras-le-bol, l'envoi des clichés échoue après trois essais, honnêtement ça bloque encore, merci de corriger vite.;ras-le-bol envoi cliché échouer essai honnêtement bloquer corriger vite;165;Thème 165 (à analyser);cliché, envoi, échouer, vite, corriger, formulaire, fin, bloquer, essai, décevoir
37;2024-01-14;Android;Email;neu;parcours;catastrophe_naturelle;10+ ans;tous_risques;3;faible;Île-de-France;Téléphone;Pas terrible mais bon, les infos demandées se répètent entre les onglets, honnêtement j'ai réussi au final, ça manque de simplicité.;terrible bon info demander répèter onglet honnêtement réussir final manque simplicité;9;Parcours confus / onglets incompréhensibles;onglet, parcours, confus, comprendre, étape, globalement, journée, manque, simplicité, inadmissible
38;2024-08-28;Android;App;neu;authentification;collision;3-10 ans;tiers;3;forte;Pays de la Loire;Web;Pas terrible mais bon le mot de passe est refusé alors que mes identifiants sont bons bref ça passe mais c'est limite le support via.;terrible bon mot passe refuser identifiant bon bref passer limite support;-1;Commentaires généraux / hors sujet;
39;2024-01-01;iOS;App;neg;photo;collision;3-10 ans;tous_risques;1;faible;Hauts-de-France;Email;Je suis déçu, je ne peux pas joindre les images même en 4G, honnêtement ça bloque encore, j'ai fini par appeler.;décevoir joindre image gramme honnêtement bloquer finir appeler;184;Thème 184 (à analyser);image, appeler, finir, joindre, bloquer, gramme, justificatif, honnêtement, franchement, ras
40;2024-07-27;Android;Agence;pos;lenteur;collision;10+ ans;tous_risques;5;faible;Auvergne-Rhône-Alpes;Téléphone;Très satisfait, les pages se figent à chaque clic depuis hier soir mais la résolution a été rapide, honnêtement le suivi était clair, service efficace.;satisfait page figer clic hier soir résolution être rapide honnêtement suivi clair service efficace;164;Thème 164 (à analyser);page, être, résolution, figer, clic, rapide, boucle, expérience, super, bien
41;2024-07-31;Android;Web;neg;photo;bris_de_glace;10+ ans;tous_risques;2;moyenne;Occitanie;Web;Ras-le-bol, l'envoi des clichés échoue après trois essais malgré plusieurs essais, franchement rien n'avance, j'ai fini par appeler.;ras-le-bol envoi cliché échouer essai essai franchement rien avance finir appeler;57;Thème 57 (à analyser);cliché, envoi, échouer, avance, rien, valider, vite, corriger, bol, le
42;2024-01-23;Android;App;pos;lenteur;catastrophe_naturelle;3-10 ans;tous_risques;4;faible;Île-de-France;Web;Nickel le dossier met trop longtemps à s'afficher au moment d'envoyer au début puis tout s'est débloqué rapidement mais tout est bien expliqué continuez comme.;nickel dossier mettre trop afficher moment envoyer début débloquer rapidement bien expliquer continuer;2;Blocage après un bon début;nickel, début, débloquer, rapidement, rapide, résolution, être, efficace, suivi, service
43;2024-08-28;iOS;App;neu;lenteur;collision;1-3 ans;tous_risques;3;faible;Bourgogne-Franche-Comté;Web;C'est mitigé, les pages se figent à chaque clic à chaque étape, et j'ai réussi au final, ça manque de simplicité.;mitiger page figer clic étape réussir final manque simplicité;0;Pages figées / clics inactifs;page, clic, figer, boucle, pièce, dernier, matin, soir, hier, confirmer
44;2024-02-16;Android;App;neu;authentification;collision;3-10 ans;jeune_conducteur;3;faible;Pays de la Loire;App;Globalement ça va, la reconnaissance Face ID échoue sur l'espace client, donc j'ai dû m'y reprendre, j'attends une amélioration.;globalement reconnaissance face échouer espace client devoir reprendre attendre amélioration;48;Thème 48 (à analyser);espace, client, mot, passe, refuser, reconnaissance, face, échouer, inadmissible, finir
45;2024-02-10;iOS;App;neu;lenteur;bris_de_glace;1-3 ans;tous_risques;3;faible;Grand Est;Email;C'est mitigé, les pages se figent à chaque clic au moment d'envoyer, donc ça passe mais c'est limite, j'attends une amélioration.;mitiger page figer clic moment envoyer passer limite attendre amélioration;0;Pages figées / clics inactifs;page, clic, figer, boucle, pièce, dernier, matin, soir, hier, confirmer
46;2024-12-19;Android;Web;neg;lenteur;collision;1-3 ans;tous_risques;2;forte;Auvergne-Rhône-Alpes;Agence;Je suis déçu, ça mouline sans fin sur la validation finale et je perds tout, alors ça bloque encore, merci de corriger vite.;décevoir mouliner fin validation final perdre bloquer corriger vite;110;Thème 110 (à analyser);validation, chargement, interminable, mouliner, final, fin, simplicité, manque, aller, mieux
47;2024-05-26;iOS;App;neu;photo;collision;1-3 ans;tous_risques;3;moyenne;PACA;App;Pas terrible mais bon, la caméra ne s'ouvre pas même en 4G, et ça passe mais c'est limite, le support via app a aidé.;terrible bon caméra ouvrir gramme passer limite support app aider;101;Thème 101 (à analyser);caméra, ouvrir, aider, support, app, web, terrible, agence, limite, reprendre
48;2024-05-31;Android;App;neg;bug;incendie;1-3 ans;tous_risques;2;moyenne;Auvergne-Rhône-Alpes;Téléphone;Je suis déçu, un message d'erreur apparaît quand j'ouvre le dossier malgré plusieurs essais, bref rien n'avance, j'espère que ça ira mieux.;décevoir message erreur apparaître ouvrir dossier essai bref rien avance espérer aller mieux;-1;Commentaires généraux / hors sujet;
49;2024-12-11;Web;Email;neu;lenteur;vol;0-1 an;tous_risques;3;faible;PACA;Téléphone;C'est mitigé, le dossier met trop longtemps à s'afficher sur la validation finale, bref j'ai dû m'y reprendre, le support via téléphone a aidé.;mitiger dossier mettre trop afficher validation final bref devoir reprendre support téléphone aider;-1;Commentaires généraux / hors sujet;
50;2024-06-16;Web;App;neg;bug;catastrophe_naturelle;1-3 ans;tous_risques;1;faible;Île-de-France;Agence;Très mécontent, l'application plante dès que je passe à l'étape suivante, du coup je perds un temps fou, merci quand même.;mécontent application plant passer étape coup perdre temps fou;7;Application qui plante;application, plant, plante, appli, dernier, confirmer, mise, jour, dossier, passer
51;2024-10-03;Android;Web;neg;lenteur;collision;3-10 ans;tous_risques;2;faible;Nouvelle-Aquitaine;Web;C'est inadmissible, le site rame énormément au moment d'envoyer et je perds tout, mais ça bloque encore, c'est pas sérieux.;inadmissible site rame énormément moment envoyer perdre bloquer sérieux;26;Thème 26 (à analyser);énormément, rame, site, pièce, envoyer, joindre, moment, vite, avance, corriger
52;2024-08-20;Android;App;neu;complexité;collision;1-3 ans;pro;3;moyenne;Auvergne-Rhône-Alpes;Téléphone;Globalement ça va, c'est trop technique pour un petit impact, du coup ça passe mais c'est limite, le support via téléphone a aidé.;globalement trop technique petit impact coup passer limite support téléphone aider;21;Thème 21 (à analyser);téléphone, aider, support, limite, terrible, devoir, passer, réussir, fois, refaire
53;2024-03-15;Web;App;neu;photo;incendie;0-1 an;tous_risques;3;moyenne;Hauts-de-France;App;Ça pourrait être mieux, l'envoi des clichés échoue à la fin du formulaire, donc j'ai dû m'y reprendre, le support via app a aidé.;mieux envoi cliché échouer fin formulaire devoir reprendre support app aider;1;Besoin d’aide / support insuffisant;app, aider, support, réussir, mitiger, limite, globalement, passer, reprendre, final
54;2024-09-19;iOS;App;neg;parcours;bris_de_glace;10+ ans;tous_risques;2;faible;Bourgogne-Franche-Comté;App;Je suis déçu, les infos demandées se répètent quand il faut choisir le garage malgré plusieurs essais, franchement ça bloque encore, merci quand même.;décevoir info demander répèter falloir choisir garage essai franchement bloquer;63;Thème 63 (à analyser);choisir, garage, falloir, répèter, demander, info, réessayer, tard, décevoir, fou
55;2024-02-03;Android;Web;neg;parcours;collision;3-10 ans;tiers;2;faible;PACA;Email;Ras-le-bol, les boutons ne sont pas clairs entre les onglets malgré plusieurs essais, du coup rien n'avance, bonne journée.;ras-le-bol bouton clair onglet essai coup rien avance bon journée;-1;Commentaires généraux / hors sujet;
56;2024-02-18;Android;App;neg;complexité;bris_de_glace;3-10 ans;tiers;1;faible;Île-de-France;Téléphone;Très mécontent, les justificatifs demandés sont trop nombreux pour avancer et je perds tout, et ça bloque encore, c'est pas sérieux.;mécontent justificatif demander trop avancer perdre bloquer sérieux;147;Thème 147 (à analyser);trop, demander, afficher, justificatif, espérer, aller, dossier, envoyer, mettre, avancer
57;2024-08-04;Web;Web;pos;parcours;collision;3-10 ans;tiers;5;faible;Île-de-France;Téléphone;Très satisfait, on tourne en rond dans les écrans pour une simple déclaration mais la résolution a été rapide.;satisfait tourne rond écran simple déclaration résolution être rapide;73;Thème 73 (à analyser);être, résolution, rapide, onglet, réponse, continuer, clair, expérience, service, efficace
58;2024-12-21;Android;App;neu;photo;collision;0-1 an;jeune_conducteur;3;moyenne;Nouvelle-Aquitaine;App;Globalement ça va, le scan des documents tourne en rond à la fin du formulaire, mais ça passe mais c'est limite, j'attends une amélioration.;globalement scan document tourne rond fin formulaire passer limite attendre amélioration;54;Thème 54 (à analyser);document, scan, rond, tourne, amélioration, attendre, agence, reprendre, mitiger, devoir
59;2024-06-15;iOS;Web;neg;photo;collision;3-10 ans;tous_risques;2;faible;Occitanie;Web;Très mécontent, je ne peux pas joindre les images pendant la déclaration, du coup je perds un temps fou, bonne journée.;mécontent joindre image déclaration coup perdre temps fou bon journée;128;Thème 128 (à analyser);journée, image, bon, joindre, fou, temps, attente, photo, bloqu, perdre
60;2024-09-26;iOS;App;neg;parcours;collision;1-3 ans;tiers;1;moyenne;Auvergne-Rhône-Alpes;App;Franchement, les infos demandées se répètent sur le récapitulatif, franchement je perds un temps fou, j'ai fini par appeler.;franchement info demander répèter récapitulatif franchement perdre temps fou finir appeler;77;Thème 77 (à analyser);récapitulatif, répèter, demander, info, franchement, appeler, finir, vite, perdre, le
61;2024-02-06;Android;Web;neg;lenteur;collision;1-3 ans;tous_risques;2;moyenne;Occitanie;App;Très mécontent, le chargement est interminable au moment d'envoyer malgré plusieurs essais, donc ça bloque encore, c'est pas sérieux.;mécontent chargement interminable moment envoyer essai bloquer sérieux;3;Chargement interminable des pièces;chargement, interminable, pièce, envoyer, joindre, moment, tard, réessayer, étape, perdre
62;2024-10-28;Android;App;pos;bug;collision;3-10 ans;tiers;4;faible;Auvergne-Rhône-Alpes;Téléphone;Très satisfait ça me déconnecte tout seul sur la dernière étape au début puis tout s'est débloqué rapidement donc le suivi était clair continuez comme.;satisfait déconnecter dernier étape début débloquer rapidement suivi clair continuer;217;Thème 217 (à analyser);rapidement, début, débloquer, continuer, mouliner, suivi, clair, top, expérience, déconnecter
63;2024-11-17;iOS;Web;neu;lenteur;catastrophe_naturelle;3-10 ans;tous_risques;3;moyenne;Bretagne;Web;Ça pourrait être mieux, le site rame énormément sur la validation finale, mais ça passe mais c'est limite, ça manque de simplicité.;mieux site rame énormément validation final passer limite manque simplicité;83;Thème 83 (à analyser);validation, énormément, rame, site, final, agence, super, mieux, limite, le
64;2024-09-16;Android;App;neg;lenteur;collision;3-10 ans;pro;1;moyenne;Occitanie;Web;Ras-le-bol, le dossier met trop longtemps à s'afficher quand je joins une pièce et je perds tout, et ça bloque encore, j'ai fini par appeler.;ras-le-bol dossier mettre trop afficher joindre pièce perdre bloquer finir appeler;50;Thème 50 (à analyser);afficher, dossier, mettre, pièce, trop, joindre, avancer, envoyer, réessayer, rien
65;2024-02-01;Android;Web;neu;complexité;collision;3-10 ans;tiers;3;moyenne;Centre-Val de Loire;Web;Pas terrible mais bon, c'est trop technique pour un petit impact, bref ça passe mais c'est limite, j'attends une amélioration.;terrible bon trop technique petit impact bref passer limite attendre amélioration;-1;Commentaires généraux / hors sujet;
66;2024-11-19;iOS;App;neg;parcours;collision;3-10 ans;tous_risques;1;faible;Hauts-de-France;App;Franchement, on tourne en rond dans les écrans sur la partie indemnisation et je perds tout, franchement ça bloque encore, ça devient pénible.;franchement tourne rond écran partie indemnisation perdre franchement bloquer devenir pénible;59;Thème 59 (à analyser);indemnisation, partie, écran, rond, tourne, inadmissible, devenir, perdre, fou, temps
67;2024-03-06;iOS;Web;neu;parcours;bris_de_glace;3-10 ans;tous_risques;3;faible;Nouvelle-Aquitaine;App;Globalement ça va, le parcours est confus sur la partie indemnisation, honnêtement j'ai réussi au final, le support via app a aidé.;globalement parcours confus partie indemnisation honnêtement réussir final support app aider;1;Besoin d’aide / support insuffisant;app, aider, support, réussir, mitiger, limite, globalement, passer, reprendre, final
68;2024-09-16;iOS;Web;pos;photo;collision;3-10 ans;tiers;5;faible;Auvergne-Rhône-Alpes;Téléphone;Merci, les photos restent en attente sur l'étape des justificatifs mais la résolution a été rapide, honnêtement j'ai eu une réponse rapide, service efficace.;photo attente étape justificatif résolution être rapide honnêtement réponse rapide service efficace;65;Thème 65 (à analyser);être, résolution, rapide, satisfait, photo, attente, réponse, service, efficace, équipe
69;2024-08-17;Android;App;pos;bug;catastrophe_naturelle;1-3 ans;tous_risques;5;faible;Auvergne-Rhône-Alpes;App;Très satisfait le bouton valider ne fait rien après la mise à jour et j'ai pu finaliser sans stress donc le suivi était clair continuez.;satisfait bouton valider rien mise jour finaliser stress suivi clair continuer;34;Thème 34 (à analyser);finaliser, stress, continuer, expérience, satisfait, expliquer, bien, suivi, clair, bouton
70;2024-09-21;Web;App;neu;photo;catastrophe_naturelle;0-1 an;tous_risques;3;forte;Auvergne-Rhône-Alpes;Web;C'est mitigé, l'envoi des clichés échoue à la fin du formulaire, franchement ça passe mais c'est limite, ça manque de simplicité.;mitiger envoi cliché échouer fin formulaire franchement passer limite manque simplicité;109;Thème 109 (à analyser);cliché, envoi, échouer, manque, simplicité, terrible, limite, reprendre, passer, formulaire
71;2024-04-24;Android;Téléphone;neu;parcours;vol;0-1 an;tiers;3;moyenne;PACA;App;C'est mitigé, les boutons ne sont pas clairs quand il faut choisir le garage, honnêtement j'ai réussi au final, le support via app a aidé.;mitiger bouton clair falloir choisir garage honnêtement réussir final support app aider;-1;Commentaires généraux / hors sujet;
72;2024-11-07;iOS;App;neg;photo;collision;1-3 ans;tous_risques;2;faible;Bretagne;Web;Franchement, les photos restent en attente à la fin du formulaire malgré plusieurs essais, du coup je perds un temps fou, merci de corriger vite.;franchement photo attente fin formulaire essai coup perdre temps fou corriger vite;19;Thème 19 (à analyser);attente, photo, fou, temps, justificatif, gramme, perdre, pénible, devenir, bloqu
73;2024-12-06;iOS;App;neg;complexité;bris_de_glace;3-10 ans;tous_risques;1;faible;Occitanie;Web;C'est inadmissible, la procédure est trop longue juste pour une info, et je perds un temps fou, j'ai fini par appeler.;inadmissible procédure trop long info perdre temps fou finir appeler;60;Thème 60 (à analyser);procédure, long, trop, simple, envoyer, sinistre, finir, avancer, appeler, bol
