id,date_commentaire,device,canal,sentiment,type_irritant,type_sinistre,anciennete_client,type_contrat,csat,gravite_sinistre,region_client,canal_resolution,commentaire,commentaire_clean,topic,topic_label,topic_label_clean,topic_label_exec
26,2024-01-14,Android,App,pos,photo,collision,1-3 ans,tous_risques,5,moyenne,Nouvelle-Aquitaine,Téléphone,"Nickel, je ne peux pas joindre les images pendant la déclaration au début, puis tout s'est débloqué rapidement, mais tout est bien expliqué, service efficace.",nickel joindre image déclaration début débloquer rapidement bien expliquer service efficace,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
27,2024-01-21,iOS,Téléphone,neg,photo,collision,0-1 an,tous_risques,1,faible,Auvergne-Rhône-Alpes,App,"Franchement, les photos restent en attente après trois essais malgré plusieurs essais, mais rien n'avance, merci de corriger vite.",franchement photo attente essai essai rien avance corriger vite,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
28,2024-07-11,Android,Web,neg,parcours,bris_de_glace,0-1 an,tous_risques,1,moyenne,Hauts-de-France,App,Je suis déçu je n'arrive pas à trouver où suivre mon sinistre quand il faut choisir le garage et je perds tout bref ça bloque.,décevoir arriver trouver sinistre falloir choisir garage perdre bref bloquer,6,choisir / garage / falloir,choisir / garage / falloir,choisir / garage / falloir
29,2024-08-09,Web,Web,neu,parcours,collision,3-10 ans,pro,3,faible,Pays de la Loire,Web,Pas terrible mais bon les infos demandées se répètent quand il faut choisir le garage franchement ça passe mais c'est limite le support via web.,terrible bon info demander répèter falloir choisir garage franchement passer limite support web,6,choisir / garage / falloir,choisir / garage / falloir,choisir / garage / falloir
30,2024-05-04,iOS,Web,neu,photo,collision,1-3 ans,tous_risques,3,faible,Auvergne-Rhône-Alpes,App,"C'est mitigé, les photos restent en attente même en 4G, alors j'ai dû m'y reprendre, le support via app a aidé.",mitiger photo attente devoir reprendre support app aider,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
31,2024-05-03,iOS,Web,neg,bug,collision,1-3 ans,tous_risques,2,moyenne,Nouvelle-Aquitaine,Web,C'est inadmissible ça me déconnecte tout seul après la mise à jour et je perds tout bref je perds un temps fou je vais réessayer.,inadmissible déconnecter mise jour perdre bref perdre temps fou réessayer,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
32,2024-06-10,Android,App,neu,photo,collision,3-10 ans,tous_risques,3,forte,Hauts-de-France,App,"Globalement ça va, la caméra ne s'ouvre pas sur l'étape des justificatifs, alors ça passe mais c'est limite, le support via app a aidé.",globalement caméra ouvrir étape justificatif passer limite support app aider,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
33,2024-01-24,Web,Web,neu,photo,incendie,3-10 ans,jeune_conducteur,3,moyenne,Occitanie,Web,"Ça pourrait être mieux, l'ajout des photos bloque à la fin du formulaire, alors j'ai réussi au final, le support via web a aidé.",mieux ajout photo bloqu fin formulaire réussir final support web aider,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
34,2024-01-28,Android,Web,pos,photo,collision,3-10 ans,tous_risques,4,moyenne,Nouvelle-Aquitaine,Email,"Bonne expérience, l'envoi des clichés échoue après trois essais et j'ai pu finaliser sans stress, franchement tout est bien expliqué, bravo à l'équipe.",bon expérience envoi cliché échouer essai finaliser stress franchement bien expliquer bravo équipe,-1,Outliers,Outliers,Outliers
35,2024-04-18,Android,App,neg,parcours,collision,1-3 ans,tous_risques,2,faible,Auvergne-Rhône-Alpes,Téléphone,"Franchement, les boutons ne sont pas clairs quand il faut choisir le garage malgré plusieurs essais, mais ça bloque encore, j'ai fini par appeler.",franchement bouton clair falloir choisir garage essai bloquer finir appeler,6,choisir / garage / falloir,choisir / garage / falloir,choisir / garage / falloir
36,2024-05-16,Web,App,neg,photo,vol,3-10 ans,tiers,1,faible,Auvergne-Rhône-Alpes,Web,"Ras-le-bol, l'envoi des clichés échoue après trois essais, honnêtement ça bloque encore, merci de corriger vite.",ras-le-bol envoi cliché échouer essai honnêtement bloquer corriger vite,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
37,2024-01-14,Android,Email,neu,parcours,catastrophe_naturelle,10+ ans,tous_risques,3,faible,Île-de-France,Téléphone,"Pas terrible mais bon, les infos demandées se répètent entre les onglets, honnêtement j'ai réussi au final, ça manque de simplicité.",terrible bon info demander répèter onglet honnêtement réussir final manque simplicité,2,onglet / écran / bouton,Problèmes d'interface,Problèmes d’interface utilisateur
38,2024-08-28,Android,App,neu,authentification,collision,3-10 ans,tiers,3,forte,Pays de la Loire,Web,Pas terrible mais bon le mot de passe est refusé alors que mes identifiants sont bons bref ça passe mais c'est limite le support via.,terrible bon mot passe refuser identifiant bon bref passer limite support,-1,Outliers,Outliers,Outliers
39,2024-01-01,iOS,App,neg,photo,collision,3-10 ans,tous_risques,1,faible,Hauts-de-France,Email,"Je suis déçu, je ne peux pas joindre les images même en 4G, honnêtement ça bloque encore, j'ai fini par appeler.",décevoir joindre image honnêtement bloquer finir appeler,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
40,2024-07-27,Android,Agence,pos,lenteur,collision,10+ ans,tous_risques,5,faible,Auvergne-Rhône-Alpes,Téléphone,"Très satisfait, les pages se figent à chaque clic depuis hier soir mais la résolution a été rapide, honnêtement le suivi était clair, service efficace.",satisfait page figer clic hier soir résolution être rapide honnêtement suivi clair service efficace,7,page / figer / clic,Application figée,page / figer / clic
41,2024-07-31,Android,Web,neg,photo,bris_de_glace,10+ ans,tous_risques,2,moyenne,Occitanie,Web,"Ras-le-bol, l'envoi des clichés échoue après trois essais malgré plusieurs essais, franchement rien n'avance, j'ai fini par appeler.",ras-le-bol envoi cliché échouer essai essai franchement rien avance finir appeler,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
42,2024-01-23,Android,App,pos,lenteur,catastrophe_naturelle,3-10 ans,tous_risques,4,faible,Île-de-France,Web,Nickel le dossier met trop longtemps à s'afficher au moment d'envoyer au début puis tout s'est débloqué rapidement mais tout est bien expliqué continuez comme.,nickel dossier mettre trop afficher moment envoyer début débloquer rapidement bien expliquer continuer,10,nickel / rapide / stress,nickel / rapide / stress,nickel / rapide / stress
43,2024-08-28,iOS,App,neu,lenteur,collision,1-3 ans,tous_risques,3,faible,Bourgogne-Franche-Comté,Web,"C'est mitigé, les pages se figent à chaque clic à chaque étape, et j'ai réussi au final, ça manque de simplicité.",mitiger page figer clic étape réussir final manque simplicité,7,page / figer / clic,Application figée,page / figer / clic
44,2024-02-16,Android,App,neu,authentification,collision,3-10 ans,jeune_conducteur,3,faible,Pays de la Loire,App,"Globalement ça va, la reconnaissance Face ID échoue sur l'espace client, donc j'ai dû m'y reprendre, j'attends une amélioration.",globalement reconnaissance face id échouer espace client devoir reprendre attendre amélioration,11,id / face / reconnaissance,id / face / reconnaissance,id / face / reconnaissance
45,2024-02-10,iOS,App,neu,lenteur,bris_de_glace,1-3 ans,tous_risques,3,faible,Grand Est,Email,"C'est mitigé, les pages se figent à chaque clic au moment d'envoyer, donc ça passe mais c'est limite, j'attends une amélioration.",mitiger page figer clic moment envoyer passer limite attendre amélioration,7,page / figer / clic,Application figée,page / figer / clic
46,2024-12-19,Android,Web,neg,lenteur,collision,1-3 ans,tous_risques,2,forte,Auvergne-Rhône-Alpes,Agence,"Je suis déçu, ça mouline sans fin sur la validation finale et je perds tout, alors ça bloque encore, merci de corriger vite.",décevoir mouliner fin validation final perdre bloquer corriger vite,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
47,2024-05-26,iOS,App,neu,photo,collision,1-3 ans,tous_risques,3,moyenne,PACA,App,"Pas terrible mais bon, la caméra ne s'ouvre pas même en 4G, et ça passe mais c'est limite, le support via app a aidé.",terrible bon caméra ouvrir passer limite support app aider,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
48,2024-05-31,Android,App,neg,bug,incendie,1-3 ans,tous_risques,2,moyenne,Auvergne-Rhône-Alpes,Téléphone,"Je suis déçu, un message d'erreur apparaît quand j'ouvre le dossier malgré plusieurs essais, bref rien n'avance, j'espère que ça ira mieux.",décevoir message erreur apparaître ouvrir dossier essai bref rien avance espérer aller mieux,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
49,2024-12-11,Web,Email,neu,lenteur,vol,0-1 an,tous_risques,3,faible,PACA,Téléphone,"C'est mitigé, le dossier met trop longtemps à s'afficher sur la validation finale, bref j'ai dû m'y reprendre, le support via téléphone a aidé.",mitiger dossier mettre trop afficher validation final bref devoir reprendre support téléphone aider,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
50,2024-06-16,Web,App,neg,bug,catastrophe_naturelle,1-3 ans,tous_risques,1,faible,Île-de-France,Agence,"Très mécontent, l'application plante dès que je passe à l'étape suivante, du coup je perds un temps fou, merci quand même.",mécontent application plant passer étape coup perdre temps fou,13,application / plant / confirmer,application / plant / confirmer,application / plant / confirmer
51,2024-10-03,Android,Web,neg,lenteur,collision,3-10 ans,tous_risques,2,faible,Nouvelle-Aquitaine,Web,"C'est inadmissible, le site rame énormément au moment d'envoyer et je perds tout, mais ça bloque encore, c'est pas sérieux.",inadmissible site rame énormément moment envoyer perdre bloquer sérieux,9,site / rame / énormément,site / rame / énormément,site / rame / énormément
52,2024-08-20,Android,App,neu,complexité,collision,1-3 ans,pro,3,moyenne,Auvergne-Rhône-Alpes,Téléphone,"Globalement ça va, c'est trop technique pour un petit impact, du coup ça passe mais c'est limite, le support via téléphone a aidé.",globalement trop technique petit impact coup passer limite support téléphone aider,4,téléphone / sms / code,Authentification SMS,Authentification par SMS
53,2024-03-15,Web,App,neu,photo,incendie,0-1 an,tous_risques,3,moyenne,Hauts-de-France,App,"Ça pourrait être mieux, l'envoi des clichés échoue à la fin du formulaire, donc j'ai dû m'y reprendre, le support via app a aidé.",mieux envoi cliché échouer fin formulaire devoir reprendre support app aider,5,app / minute / répondre,app / minute / répondre,app / minute / répondre
54,2024-09-19,iOS,App,neg,parcours,bris_de_glace,10+ ans,tous_risques,2,faible,Bourgogne-Franche-Comté,App,"Je suis déçu, les infos demandées se répètent quand il faut choisir le garage malgré plusieurs essais, franchement ça bloque encore, merci quand même.",décevoir info demander répèter falloir choisir garage essai franchement bloquer,6,choisir / garage / falloir,choisir / garage / falloir,choisir / garage / falloir
55,2024-02-03,Android,Web,neg,parcours,collision,3-10 ans,tiers,2,faible,PACA,Email,"Ras-le-bol, les boutons ne sont pas clairs entre les onglets malgré plusieurs essais, du coup rien n'avance, bonne journée.",ras-le-bol bouton clair onglet essai coup rien avance bon journée,2,onglet / écran / bouton,Problèmes d'interface,Problèmes d’interface utilisateur
56,2024-02-18,Android,App,neg,complexité,bris_de_glace,3-10 ans,tiers,1,faible,Île-de-France,Téléphone,"Très mécontent, les justificatifs demandés sont trop nombreux pour avancer et je perds tout, et ça bloque encore, c'est pas sérieux.",mécontent justificatif demander trop avancer perdre bloquer sérieux,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
57,2024-08-04,Web,Web,pos,parcours,collision,3-10 ans,tiers,5,faible,Île-de-France,Téléphone,"Très satisfait, on tourne en rond dans les écrans pour une simple déclaration mais la résolution a été rapide.",satisfait tourne rond écran simple déclaration résolution être rapide,-1,Outliers,Outliers,Outliers
58,2024-12-21,Android,App,neu,photo,collision,0-1 an,jeune_conducteur,3,moyenne,Nouvelle-Aquitaine,App,"Globalement ça va, le scan des documents tourne en rond à la fin du formulaire, mais ça passe mais c'est limite, j'attends une amélioration.",globalement scan document tourne rond fin formulaire passer limite attendre amélioration,3,document / scan / rond,document / scan / rond,Dépôt / scan de documents
59,2024-06-15,iOS,Web,neg,photo,collision,3-10 ans,tous_risques,2,faible,Occitanie,Web,"Très mécontent, je ne peux pas joindre les images pendant la déclaration, du coup je perds un temps fou, bonne journée.",mécontent joindre image déclaration coup perdre temps fou bon journée,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
60,2024-09-26,iOS,App,neg,parcours,collision,1-3 ans,tiers,1,moyenne,Auvergne-Rhône-Alpes,App,"Franchement, les infos demandées se répètent sur le récapitulatif, franchement je perds un temps fou, j'ai fini par appeler.",franchement info demander répèter récapitulatif franchement perdre temps fou finir appeler,-1,Outliers,Outliers,Outliers
61,2024-02-06,Android,Web,neg,lenteur,collision,1-3 ans,tous_risques,2,moyenne,Occitanie,App,"Très mécontent, le chargement est interminable au moment d'envoyer malgré plusieurs essais, donc ça bloque encore, c'est pas sérieux.",mécontent chargement interminable moment envoyer essai bloquer sérieux,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
62,2024-10-28,Android,App,pos,bug,collision,3-10 ans,tiers,4,faible,Auvergne-Rhône-Alpes,Téléphone,Très satisfait ça me déconnecte tout seul sur la dernière étape au début puis tout s'est débloqué rapidement donc le suivi était clair continuez comme.,satisfait déconnecter dernier étape début débloquer rapidement suivi clair continuer,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
63,2024-11-17,iOS,Web,neu,lenteur,catastrophe_naturelle,3-10 ans,tous_risques,3,moyenne,Bretagne,Web,"Ça pourrait être mieux, le site rame énormément sur la validation finale, mais ça passe mais c'est limite, ça manque de simplicité.",mieux site rame énormément validation final passer limite manque simplicité,-1,Outliers,Outliers,Outliers
64,2024-09-16,Android,App,neg,lenteur,collision,3-10 ans,pro,1,moyenne,Occitanie,Web,"Ras-le-bol, le dossier met trop longtemps à s'afficher quand je joins une pièce et je perds tout, et ça bloque encore, j'ai fini par appeler.",ras-le-bol dossier mettre trop afficher joindre pièce perdre bloquer finir appeler,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
65,2024-02-01,Android,Web,neu,complexité,collision,3-10 ans,tiers,3,moyenne,Centre-Val de Loire,Web,"Pas terrible mais bon, c'est trop technique pour un petit impact, bref ça passe mais c'est limite, j'attends une amélioration.",terrible bon trop technique petit impact bref passer limite attendre amélioration,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
66,2024-11-19,iOS,App,neg,parcours,collision,3-10 ans,tous_risques,1,faible,Hauts-de-France,App,"Franchement, on tourne en rond dans les écrans sur la partie indemnisation et je perds tout, franchement ça bloque encore, ça devient pénible.",franchement tourne rond écran partie indemnisation perdre franchement bloquer devenir pénible,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
67,2024-03-06,iOS,Web,neu,parcours,bris_de_glace,3-10 ans,tous_risques,3,faible,Nouvelle-Aquitaine,App,"Globalement ça va, le parcours est confus sur la partie indemnisation, honnêtement j'ai réussi au final, le support via app a aidé.",globalement parcours confus partie indemnisation honnêtement réussir final support app aider,5,app / minute / répondre,app / minute / répondre,app / minute / répondre
68,2024-09-16,iOS,Web,pos,photo,collision,3-10 ans,tiers,5,faible,Auvergne-Rhône-Alpes,Téléphone,"Merci, les photos restent en attente sur l'étape des justificatifs mais la résolution a été rapide, honnêtement j'ai eu une réponse rapide, service efficace.",photo attente étape justificatif résolution être rapide honnêtement réponse rapide service efficace,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
69,2024-08-17,Android,App,pos,bug,catastrophe_naturelle,1-3 ans,tous_risques,5,faible,Auvergne-Rhône-Alpes,App,Très satisfait le bouton valider ne fait rien après la mise à jour et j'ai pu finaliser sans stress donc le suivi était clair continuez.,satisfait bouton valider rien mise jour finaliser stress suivi clair continuer,8,finaliser / stress / satisfait,finaliser / stress / satisfait,finaliser / stress / satisfait
70,2024-09-21,Web,App,neu,photo,catastrophe_naturelle,0-1 an,tous_risques,3,forte,Auvergne-Rhône-Alpes,Web,"C'est mitigé, l'envoi des clichés échoue à la fin du formulaire, franchement ça passe mais c'est limite, ça manque de simplicité.",mitiger envoi cliché échouer fin formulaire franchement passer limite manque simplicité,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
71,2024-04-24,Android,Téléphone,neu,parcours,vol,0-1 an,tiers,3,moyenne,PACA,App,"C'est mitigé, les boutons ne sont pas clairs quand il faut choisir le garage, honnêtement j'ai réussi au final, le support via app a aidé.",mitiger bouton clair falloir choisir garage honnêtement réussir final support app aider,6,choisir / garage / falloir,choisir / garage / falloir,choisir / garage / falloir
72,2024-11-07,iOS,App,neg,photo,collision,1-3 ans,tous_risques,2,faible,Bretagne,Web,"Franchement, les photos restent en attente à la fin du formulaire malgré plusieurs essais, du coup je perds un temps fou, merci de corriger vite.",franchement photo attente fin formulaire essai coup perdre temps fou corriger vite,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
73,2024-12-06,iOS,App,neg,complexité,bris_de_glace,3-10 ans,tous_risques,1,faible,Occitanie,Web,"C'est inadmissible, la procédure est trop longue juste pour une info, et je perds un temps fou, j'ai fini par appeler.",inadmissible procédure trop long info perdre temps fou finir appeler,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
74,2024-06-19,Android,App,neg,parcours,vol,3-10 ans,pro,2,moyenne,Pays de la Loire,App,"Franchement, les infos demandées se répètent pour une simple déclaration, alors rien n'avance, merci de corriger vite.",franchement info demander répèter simple déclaration rien avance corriger vite,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
75,2024-10-05,Android,App,neu,photo,incendie,0-1 an,tous_risques,3,faible,Pays de la Loire,Web,Ça pourrait être mieux je ne peux pas joindre les images même en 4G honnêtement ça passe mais c'est limite le support via web a.,mieux joindre image honnêtement passer limite support web a.,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
76,2024-09-22,Android,App,neg,lenteur,catastrophe_naturelle,1-3 ans,tiers,1,faible,Grand Est,App,Franchement le dossier met trop longtemps à s'afficher quand je joins une pièce et je perds tout franchement je perds un temps fou c'est pas.,franchement dossier mettre trop afficher joindre pièce perdre franchement perdre temps fou,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
77,2024-11-10,Web,App,pos,complexité,collision,3-10 ans,tous_risques,4,forte,Île-de-France,Web,"Merci, on me demande des infos impossibles pour un sinistre simple au début, puis tout s'est débloqué rapidement.",demande info impossible sinistre simple début débloquer rapidement,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
78,2024-08-18,Web,App,neu,parcours,bris_de_glace,1-3 ans,tous_risques,3,faible,Île-de-France,Téléphone,"C'est mitigé, les infos demandées se répètent entre les onglets, franchement ça passe mais c'est limite, j'attends une amélioration.",mitiger info demander répèter onglet franchement passer limite attendre amélioration,2,onglet / écran / bouton,Problèmes d'interface,Problèmes d’interface utilisateur
